filename,genre,zcr_mean,zcr_std,chroma_stft_mean,chroma_stft_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std
And Your fingers - Diogenes In Hell,Ambient,0.033230542654163295,0.059281700821846785,0.53701943,0.30273739,927.5767310093067,733.0315003870793,1674.8078343550815,1852.878428342239,1694.0464626463588,588.978612431234,-400.53656,73.49757,98.920006,26.492895,45.35027,24.09511,38.629288,17.731926,32.376892,12.171424,18.42779,10.036409,9.853749,9.889965,11.508415,9.619353,5.120452,6.951431,4.8269367,10.366854,4.010833,6.685414,4.666207,9.199565
Between - MOAN,Ambient,0.1016128031806739,0.038331524842850566,0.46694425,0.27392286,2070.456853982676,340.0772600394611,4604.9864067946355,650.8460465811811,2231.493926042512,171.56331222525597,-65.39725,19.731527,110.328606,14.511929,-15.800028,8.549526,40.317364,5.6278586,-10.78743,6.167802,24.58408,5.5805254,-10.675004,4.631775,11.275224,4.759264,-5.859866,4.0073647,9.79495,4.187386,-4.218594,4.2025485,3.760076,4.7218328
Bliss - Fabian Measures,Ambient,0.06604344040247678,0.02964123571107773,0.24977288,0.2916783,1113.25433989605,618.9158268462647,1967.2631042291505,1548.5686456360843,1306.6190668840936,658.2077888082673,-425.6415,77.08408,154.90155,37.214916,5.0967426,21.607222,-1.260337,14.486604,-14.682867,13.632263,-10.1679125,14.066657,-21.648453,11.110444,-7.2481,11.973663,-7.9703493,15.11769,-5.2296047,17.183077,-18.276228,12.344293,-12.525684,10.904007
Calm - Silent Partner,Ambient,0.04626588451623858,0.03026044862840945,0.2551125,0.2941865,1057.811521962905,370.2416113617742,1865.4287257704448,754.9469503286196,1361.3930720889548,257.7177190110782,-165.87985,63.947124,152.8186,27.41308,-13.578955,19.78965,23.479778,19.549444,-12.207296,12.168433,-4.6474104,12.908392,-15.579876,8.977944,-14.826741,10.347302,-9.081658,7.693015,-6.6206484,7.037644,-4.50409,7.6489954,-7.005124,7.3881025
Charms - Sergey Cheremisinov,Ambient,0.054791146317379184,0.026947139850354036,0.25323522,0.31439647,711.5406055527826,694.8512446305685,1171.3221984636384,1380.1366542037445,676.1011016720804,555.0509751213443,-410.65427,74.75481,173.15918,68.209816,56.028347,20.449585,-3.0435786,20.325037,-8.62216,14.026405,-5.171948,10.870955,-3.589127,10.20599,-0.5392615,8.936778,1.9990419,8.843087,2.1130037,8.369343,1.667462,9.560513,1.0574847,8.695248
Chase - Muhmood,Ambient,0.08833661119972931,0.04157683512181455,0.41485965,0.2862654,2146.237631499802,543.5591169025358,4676.826862945911,1202.9391222967574,2370.017024240248,385.4781665993615,-82.96498,51.693665,97.78961,23.36134,0.12051106,21.802948,51.632565,17.225218,0.26141283,9.856647,9.308574,10.1769085,-0.5231503,7.313777,13.017842,6.267863,6.5111017,7.10123,10.611776,5.9552674,-9.083695,5.8969617,7.3219833,5.7758627
Come Fly With Me - Blear Moon,Ambient,0.04428342309328589,0.02563922028032147,0.3951895,0.29241264,1721.5508303403828,408.98804483159483,4018.560745692489,1098.756047140549,2301.2534539158896,272.2522564547606,-204.64586,36.724354,105.548386,15.673059,0.34648123,15.729117,27.400095,8.28156,3.0319324,7.029595,21.572918,6.2124324,0.93535614,7.1537466,9.226435,7.261173,-5.799631,7.238022,10.618407,7.1570754,0.3802491,7.754941,11.677903,7.2298183
Digital Solitude - Silent Partner,Ambient,0.0746992655985204,0.08887595019152997,0.2546039,0.29849258,1452.7858643962347,1525.5214850449468,2576.6227760956444,2696.101354413982,1430.251063242723,968.1636838242688,-297.3677,98.11804,111.419914,54.721943,30.133184,33.529594,5.5031285,19.87948,-11.963196,18.183512,-3.0739799,18.759798,-17.823435,12.482115,-12.210229,16.192343,-21.33532,12.4465275,-19.595022,17.728615,-24.819525,18.615461,-19.19648,14.4553795
Ether - Silent Partner,Ambient,0.06399368053251493,0.05734140523178709,0.3019698,0.300346,1609.2058111815616,778.6179814271289,3372.9421715587673,1745.4034155694167,2003.3117197271163,458.8635353742705,-163.59538,120.35361,108.41421,35.257385,10.1870985,22.453068,34.516426,20.140425,-5.2263937,11.338984,11.111888,10.738026,-2.5625417,8.771488,5.57444,13.088975,-15.8626585,13.288942,-10.603691,19.68637,-16.876703,16.543993,-4.100641,14.039264
Explore - Madoka,Ambient,0.053221900981245164,0.01733893411940282,0.25378716,0.29348305,952.4019700650845,334.8164537377694,1739.7096142691416,918.6496567108791,1323.1086312596808,344.33942920059553,-125.39772,40.18717,167.60828,18.847155,-4.248612,15.569883,32.357597,13.349372,10.538759,12.774924,-2.3910902,8.108649,-5.259672,7.320305,-5.985687,8.716416,-12.818175,11.587687,4.475477,7.137842,-15.86852,7.2581115,-7.455607,8.795967
